Afrikaans`af
Albania`AL
Arabic`ar
Armenian`hy
Azerbaijan`AZ
basque`eu
Belarusian`be
Bengali`bn
Bosnian`bs
Bulgarian`BG
Catalan`ca
Cebuano`ceb
Chinese (simplified)`zh-CN
Chinese (traditional)`zh-TW
Croatian`hr
Czech`cs
Danish`da
Dutch`nl
English`en
Esperanto`eo
Estonian`et
Filipino`tl
Finnish`fi
French`fr
Galician`gl
Georgian`ka
German`de
Greek`el
Gujarati`gu
Haitian Creole`ht
Hebrew`iw
Hindi`hi
Hmong`hmn
Hungarian`hu
Icelandic`is
Indonesian`id
Irish`ga
Italian`it
Japanese`ja
Javanese`jw
Kannada`kn
Khmer`km
Korean`ko
Lao`lo
Latin`la
Latvian`lv
Lithuanian`lt
Macedonian `mk
Malay`ms
Maltese`es
Marathi`mr
Norwegian`no
Persian`fa
Polish`pl
Portuguese`pt
Romanian`ro
Russian`ru
Serbian`sr
Slovak`sk
Slovenian`sl
Spanish`es
Swahili`sw
Swedish`sv
Tamil`ta
Telugu`te
Thai`th
Turkish`tr
Ukrainian`uk
Urdu`ur
Vietnamese`vi
Welsh`cy
Yiddish`yi
